Distrito-zona;Silhouette;Calinski-Harabasz;Davies-Bouldin;Tipo zona
10-Artes graficas;0,77;$ 2.134;0,51;Artes graficas
10-Institucional;0,94;$ 14.490;0,18;Institucional
10-Mayorista;0,80;$ 2.010;0,38;Mayorista
10-V Horeca;0,71;$ 2.686;0,21;V Horeca
10-V Industria;0,76;$ 2.332;0,39;V Industria
10-V SyE;0,79;$ 2.114;0,38;V SyE
15-Artes graficas;0,76;$ 7.519;0,31;Artes graficas
15-Institucional;0,80;$ 2.170;0,49;Institucional
15-Mayorista;0,81;$ 1.422;0,36;Mayorista
17-Artes graficas;0,77;$ 1.303;0,39;Artes graficas
17-Institucional;0,83;$ 2.012;0,27;Institucional
17-Mayorista;0,81;$ 2.338;0,37;Mayorista
20-Artes graficas;0,80;$ 3.469;0,44;Artes graficas
20-Institucional;0,79;$ 4.758;0,39;Institucional
20-Mayorista;0,81;$ 1.739;0,32;Mayorista
20-V Horeca;0,82;$ 971;0,33;V Horeca
20-V SyE;0,75;$ 529;0,26;V SyE
25-Artes graficas;0,73;$ 1.372;0,38;Artes graficas
25-Institucional;0,77;$ 2.212;0,45;Institucional
25-Mayorista;0,84;$ 2.371;0,28;Mayorista
40-Artes graficas;0,79;$ 3.274;0,50;Artes graficas
40-Institucional;0,86;$ 89.779;0,42;Institucional
40-Mayorista;0,73;$ 1.179;0,43;Mayorista
40-V Horeca;0,72;$ 759;0,45;V Horeca
40-V Industria;0,80;$ 1.378;0,39;V Industria
45-Institucional;0,74;$ 1.124;0,48;Institucional
45-Mayorista;0,88;$ 1.794;0,30;Mayorista
50-Artes graficas;0,84;$ 1.590;0,36;Artes graficas
50-Institucional;0,84;$ 2.565;0,37;Institucional
50-Mayorista;0,84;$ 2.013;0,19;Mayorista
50-V Horeca;0,67;$ 2.172;0,36;V Horeca
50-V Industria;0,73;$ 839;0,40;V Industria
50-V SyE;0,79;$ 2.096;0,26;V SyE
52-Artes graficas;0,78;$ 595;0,29;Artes graficas
52-Institucional;0,82;$ 3.418;0,32;Institucional
52-Mayorista;0,78;$ 823;0,42;Mayorista
53-Artes graficas;0,74;$ 919;0,29;Artes graficas
53-Institucional;0,71;$ 1.550;0,31;Institucional
53-Mayorista;0,69;$ 315;0,45;Mayorista
55-Artes graficas;0,74;$ 3.921;0,22;Artes graficas
55-Institucional;0,80;$ 1.733;0,45;Institucional
55-Mayorista;0,81;$ 5.967;0,24;Mayorista
60-Artes graficas;0,80;$ 1.575;0,38;Artes graficas
60-Institucional;0,89;$ 22.330;0,28;Institucional
60-Mayorista;0,85;$ 2.580;0,24;Mayorista
60-V Horeca;0,72;$ 1.494;0,37;V Horeca
60-V SyE;0,81;$ 5.487;0,16;V SyE
65-Institucional;0,80;$ 1.973;0,26;Institucional
65-Mayorista;0,83;$ 1.412;0,30;Mayorista
65-V SyE;0,73;$ 3.714;0,24;V SyE
70-Artes graficas;0,78;$ 787;0,27;Artes graficas
70-Institucional;0,82;$ 3.889;0,44;Institucional
70-Mayorista;0,65;$ 349;0,45;Mayorista
70-V Horeca;0,79;$ 1.107;0,21;V Horeca
71-Artes graficas;0,92;$ 1.920;0,15;Artes graficas
71-Institucional;0,82;$ 8.295;0,27;Institucional
71-Mayorista;0,53;$ 1.212;0,24;Mayorista
71-V Industria;0,86;$ 981;0,38;V Industria
75-Artes graficas;0,71;$ 762;0,42;Artes graficas
75-Institucional;0,87;$ 2.290;0,35;Institucional
75-Mayorista;0,83;$ 3.058;0,35;Mayorista
90-Artes graficas;0,80;$ 4.075;0,42;Artes graficas
90-Institucional;0,82;$ 4.185;0,38;Institucional
90-Mayorista;0,78;$ 3.284;0,35;Mayorista
