Distrito-zona;Normalizado;Silhouette;Calinski-Harabasz;Davies-Bouldin;Tipo zona
52-Artes graficas;Si;0,515;61,5574;0,6739;Artes graficas
52-Institucional;Si;0,468;332,5382;0,7267;Institucional
52-Mayorista;Si;0,4559;123,8636;0,746;Mayorista
53-Artes graficas;Si;0,583;78,6936;0,4867;Artes graficas
53-Institucional;Si;0,4673;138,1169;0,6674;Institucional
53-Mayorista;Si;0,4938;97,5761;0,6412;Mayorista
55-Artes graficas;Si;0,4613;100,9334;0,6021;Artes graficas
55-Institucional;Si;0,509;471,2139;0,6392;Institucional
55-Mayorista;Si;0,4995;91,6998;0,5695;Mayorista
60-Artes graficas;Si;0,4763;438,9813;0,7217;Artes graficas
60-Institucional;Si;0,5432;1071,6996;0,6898;Institucional
60-Mayorista;Si;0,4825;715,1349;0,6735;Mayorista
60-V Horeca;Si;0,5151;120,0454;0,5761;V Horeca
60-V SyE;Si;0,514;123,2389;0,4967;V SyE
65-Institucional;Si;0,4559;381,1686;0,7234;Institucional
65-Mayorista;Si;0,4988;227,1947;0,7388;Mayorista
65-V SyE;Si;0,5055;110,5227;0,5483;V SyE
70-Artes graficas;Si;0,5523;265,8756;0,5523;Artes graficas
70-Institucional;Si;0,5132;1590,8952;0,675;Institucional
70-Mayorista;Si;0,5807;124,7304;0,4683;Mayorista
70-TIG;Si;0,4295;140,3274;0,7842;TIG
70-V Horeca;Si;0,5395;138,2792;0,5988;V Horeca
71-Artes graficas;Si;0,4719;329,4961;0,7203;Artes graficas
71-Institucional;Si;0,5331;164,1812;0,4919;Institucional
71-Mayorista;Si;0,3591;145,4236;0,3245;Mayorista
71-TIG;Si;0,4447;59,6517;0,6701;TIG
71-V Industria;Si;0,5446;183,7459;0,6475;V Industria
75-Artes graficas;Si;0,5084;199,3862;0,6693;Artes graficas
75-Institucional;Si;0,458;456,0468;0,7623;Institucional
75-Mayorista;Si;0,4717;258,2054;0,6192;Mayorista
90-Artes graficas;Si;0,4781;347,7367;0,6845;Artes graficas
90-Institucional;Si;0,4921;821,0082;0,7063;Institucional
90-Mayorista;Si;0,5041;282,3793;0,5616;Mayorista
