Codigo distrito;Nombre tipo zona;Nit cliente-sucursal;Recency;Monetary;Frequency;Distrito-Nombretipozona
101;Artes graficas;1660151793-1;24;15965;8;101-Artes graficas
101;Artes graficas;1660153844-1;23;224522;9;101-Artes graficas
101;Artes graficas;1660165920-1;20;28026;8;101-Artes graficas
101;Artes graficas;1660166217-1;24;172078;16;101-Artes graficas
101;Artes graficas;1660166524-1;24;17528;12;101-Artes graficas
101;Artes graficas;1660166753-1;24;2880098;24;101-Artes graficas
101;Artes graficas;1660168558-1;24;95215;15;101-Artes graficas
101;Artes graficas;1660170394-1;17;5394;2;101-Artes graficas
101;Artes graficas;1660174036-1;24;1326526;18;101-Artes graficas
101;Artes graficas;1660183921-1;23;10582;13;101-Artes graficas
101;Artes graficas;1660184835-1;23;653635;9;101-Artes graficas
101;Artes graficas;1660184843-1;24;39557;14;101-Artes graficas
101;Artes graficas;1660185590-1;24;52369;17;101-Artes graficas
101;Artes graficas;1660186219-1;24;1272126;20;101-Artes graficas
101;Artes graficas;1660190361-1;24;53786;15;101-Artes graficas
101;Artes graficas;1660192450-1;24;324809;24;101-Artes graficas
101;Artes graficas;1660194517-1;20;15789;3;101-Artes graficas
101;Artes graficas;1660199237-1;23;54087;16;101-Artes graficas
101;Artes graficas;1660203526-1;24;80789;23;101-Artes graficas
101;Artes graficas;1660204079-1;22;280266;17;101-Artes graficas
101;Artes graficas;1660205240-1;24;854783;21;101-Artes graficas
101;Artes graficas;1660214759-1;24;369288;23;101-Artes graficas
101;Artes graficas;940047398-1;23;2065;3;101-Artes graficas
101;Artes graficas;1660221432-1;24;73889;2;101-Artes graficas
101;Artes graficas;1660222708-1;2;3864;1;101-Artes graficas
101;Artes graficas;1660229382-1;21;1863;3;101-Artes graficas
101;Artes graficas;1660230720-1;24;77285;20;101-Artes graficas
101;Artes graficas;1660231429-1;18;1077;2;101-Artes graficas
101;Artes graficas;1660233010-1;23;432093;9;101-Artes graficas
101;Artes graficas;1660235243-1;24;159954;21;101-Artes graficas
101;Artes graficas;1660236495-1;24;357559;17;101-Artes graficas
101;Artes graficas;1660244004-1;24;73825;18;101-Artes graficas
101;Artes graficas;1660245360-1;22;59627;10;101-Artes graficas
101;Artes graficas;1660246680-1;21;7116;2;101-Artes graficas
101;Artes graficas;1660252384-1;21;2788;6;101-Artes graficas
101;Artes graficas;1660255039-1;24;4608290;23;101-Artes graficas
101;Artes graficas;1660262953-1;24;1586684;22;101-Artes graficas
101;Artes graficas;1660265894-1;24;281143;22;101-Artes graficas
101;Artes graficas;1660271732-1;24;466581;18;101-Artes graficas
101;Artes graficas;1660276229-1;24;704841;20;101-Artes graficas
101;Artes graficas;1660279684-1;17;100692;9;101-Artes graficas
101;Artes graficas;940204228-1;4;3070;3;101-Artes graficas
101;Artes graficas;940210147-1;3;308;1;101-Artes graficas
101;Artes graficas;940287462-1;23;71513;4;101-Artes graficas
101;Artes graficas;940296247-1;10;908;1;101-Artes graficas
101;Artes graficas;940453114-1;5;492;1;101-Artes graficas
101;Artes graficas;940753480-1;12;53217;3;101-Artes graficas
101;Artes graficas;940871288-1;15;1697;2;101-Artes graficas
101;Artes graficas;1690029090-1;24;59239;13;101-Artes graficas
101;Artes graficas;1690030502-1;23;42890;16;101-Artes graficas
101;Artes graficas;1690031166-1;24;148131;21;101-Artes graficas
101;Artes graficas;1690033030-1;10;990;1;101-Artes graficas
101;Artes graficas;1690033249-1;8;369;2;101-Artes graficas
101;Artes graficas;1690033787-1;24;103707;8;101-Artes graficas
101;Artes graficas;1690033865-1;24;513977;17;101-Artes graficas
101;Artes graficas;1690034374-1;24;978851;22;101-Artes graficas
101;Artes graficas;1690037504-1;24;84820;22;101-Artes graficas
101;Artes graficas;1690040779-1;18;409731;8;101-Artes graficas
101;Artes graficas;1690041593-1;21;30557;3;101-Artes graficas
101;Artes graficas;1690042362-1;23;292038;9;101-Artes graficas
101;Artes graficas;1690044050-1;23;39286;18;101-Artes graficas
101;Artes graficas;1690044289-1;24;14976;5;101-Artes graficas
101;Artes graficas;1690045464-1;16;1354;2;101-Artes graficas
101;Artes graficas;1690046367-1;24;955948;20;101-Artes graficas
101;Artes graficas;1690046925-1;23;14708;12;101-Artes graficas
101;Artes graficas;1690047738-1;24;26740;6;101-Artes graficas
101;Artes graficas;1690048197-1;24;242185;18;101-Artes graficas
101;Artes graficas;1690049592-1;24;310201;23;101-Artes graficas
101;Artes graficas;1690051529-1;23;210411;20;101-Artes graficas
101;Artes graficas;1690053870-1;22;61743;13;101-Artes graficas
101;Artes graficas;1690054086-1;24;619574;24;101-Artes graficas
101;Artes graficas;1690054190-1;21;18935;6;101-Artes graficas
101;Artes graficas;1690054593-1;23;186623;22;101-Artes graficas
101;Artes graficas;1690056393-1;24;1342331;24;101-Artes graficas
101;Artes graficas;1690057099-1;23;36974;16;101-Artes graficas
101;Artes graficas;1690059785-1;17;90082;4;101-Artes graficas
101;Artes graficas;1690059959-1;21;3950;3;101-Artes graficas
101;Artes graficas;1690062439-1;24;491607;18;101-Artes graficas
101;Artes graficas;1690063689-1;22;72381;17;101-Artes graficas
101;Artes graficas;1690068104-1;24;98505;13;101-Artes graficas
101;Artes graficas;1690070527-1;17;20915;5;101-Artes graficas
101;Artes graficas;1690071246-1;8;296;1;101-Artes graficas
101;Artes graficas;1690073304-1;24;3057;4;101-Artes graficas
101;Artes graficas;1690074603-1;24;11553;11;101-Artes graficas
101;Artes graficas;1690074911-1;23;19621;12;101-Artes graficas
101;Artes graficas;1690076435-1;12;13566;7;101-Artes graficas
101;Artes graficas;1690076795-1;24;40142;2;101-Artes graficas
101;Artes graficas;1690077163-1;24;188531;15;101-Artes graficas
101;Artes graficas;1690078016-1;24;232471;22;101-Artes graficas
101;Artes graficas;1690084433-1;23;66039;14;101-Artes graficas
101;Artes graficas;1690086630-1;23;6093;4;101-Artes graficas
101;Artes graficas;1690087400-1;24;916160;22;101-Artes graficas
101;Artes graficas;1690087898-1;24;28854;4;101-Artes graficas
101;Artes graficas;1690088918-1;8;5168;4;101-Artes graficas
101;Artes graficas;1690089209-1;24;5732;9;101-Artes graficas
101;Artes graficas;1690089909-1;15;17770;2;101-Artes graficas
101;Artes graficas;1690092064-1;24;635027;20;101-Artes graficas
101;Artes graficas;1690095385-1;24;370596;20;101-Artes graficas
101;Artes graficas;1690096151-1;16;30635;3;101-Artes graficas
101;Artes graficas;1690097246-1;21;19717;4;101-Artes graficas
101;Artes graficas;1690097438-1;24;1576750;21;101-Artes graficas
101;Artes graficas;1690098519-1;23;373405;11;101-Artes graficas
101;Artes graficas;1690103035-1;2;1625;1;101-Artes graficas
101;Artes graficas;1690108196-1;23;20787;7;101-Artes graficas
101;Artes graficas;1690109762-1;23;31045;15;101-Artes graficas
101;Artes graficas;1690109874-1;24;28565;5;101-Artes graficas
101;Artes graficas;1690110547-1;24;15487;1;101-Artes graficas
101;Artes graficas;1690112145-1;24;34049;15;101-Artes graficas
101;Artes graficas;1690112312-1;22;961;1;101-Artes graficas
101;Artes graficas;1690112328-1;24;939499;22;101-Artes graficas
101;Artes graficas;1690112359-1;2;2006;2;101-Artes graficas
