iter	RMSE
0	21.0156808
1	20.8979207
2	20.73037091
3	20.56287124
4	20.38513151
5	20.27371669
6	20.13761995
7	20.01304919
8	19.88055694
9	19.7530398
10	19.61407289
11	19.44461469
12	19.3033872
13	19.18310869
14	19.05081869
15	18.95196751
16	18.84634555
17	18.76638643
18	18.68330899
19	18.53458172
20	18.42254786
21	18.31444387
22	18.20648094
23	18.07693598
24	17.96073326
225	20.052081
26	19.83687945
27	19.64371089
28	19.43434474
29	19.19601091
30	18.98000337
31	18.81501379
32	18.63258118
33	18.40618724
34	18.23635058
35	18.05967137
36	17.87107715
37	17.69270257
38	17.54385005
39	17.39128987
40	17.2331631
41	17.07005397
42	16.92822539
43	16.78671331
44	16.62767007
45	16.49582984
46	16.38667185
47	16.26417103
48	16.12002707
49	15.98635691
50	15.85588295
51	15.72622296
52	15.59742713
53	15.47694843
54	15.36031011
55	15.26790989
56	15.15395271
57	15.05029426
58	14.95315655
59	14.85455705
60	14.74889667
61	14.64344618
62	14.558928
63	14.45936044
64	14.3944598
65	14.31789221
66	14.23531096
67	14.15422968
68	14.09353087
69	14.01416393
70	13.92387383
71	13.83853053
72	13.7463461
73	13.66835723
74	13.60350338
75	13.53217321
76	13.47568622
77	13.40572574
78	13.34565501
79	13.28233306
80	13.21719683
81	13.15779378
82	13.10075069
83	13.03382815
84	12.95051457
85	12.87831664
86	12.80637961
87	12.78710934
88	12.72874069
89	12.68447401
90	12.61935266
91	12.57766388
92	12.53263299
93	12.46305731
94	12.41868619
95	12.3616193
96	12.31514475
97	12.27599427
98	12.22423085
99	12.18004504
100	12.12972068
101	12.08938558
102	12.04955972
103	12.00350496
104	11.96704982
105	11.93325751
106	11.87598983
107	11.8286111
108	11.79544688
109	11.74334341
110	11.69035801
111	11.64162217
112	1112	12.1445113	1113	12.0879114	1114	12.0596115	1115	12.0171116	11.38765924
117	11.32587791
118	11.28359759
119	11.24855401
120	11.20582559
121	11.16309901
122	11.1158814
123	11.06580557
124	11.02705119
125	10.99515173
126	10.95279874
127	10.91420025
128	10.88483212
129	10.86042552
130	10.82329731
131	10.79246661
132	10.74865113
133	10.72551504
134	10.66989205
135	10.65839945
136	10.61440198
137	10.58837025
138	10.56561075
139	10.52744427
140	10.49747671
141	10.46919857
142	10.4463241
143	10.41365935
144	10.37015016
145	10.36197014
146	10.33214244
147	10.29436681
148	10.25589008
149	10.21640607
150	10.19378614
151	10.16108222
152	10.14051488
153	10.09542471
154	10.07252941
155	10.03814112
156	10.02080921
157	9.995214275
158	9.969057711
159	9.932632702
160	9.916898071
161	9.880270354
162	9.872817432
163	9.835936001
164	9.810997191
165	9.78826292
166	9.764934326
167	9.748765346
168	9.728900866
169	9.705224316
170	9.679255683
171	9.646789049
172	9.62864739
173	9.610658437
174	9.584844357
175	9.553152538
176	9.533485517
177	9.524684103
178	9.497984686
179	9.470453004
180	9.45289646
181	9.436700715
182	9.399526217
183	9.366571614
184	9.33132549
185	9.322609265
186	9.295268464
187	9.265117557
188	9.245427576
189	9.229101528
190	9.21140413
191	9.188428181
192	9.169508933
193	9.140132676
194	9.121375333
195	9.10770931
196	9.070172881
197	9.033672941
198	9.014347665
199	8.995428799
200	8.971606703
201	8.960319399
202	8.940820942
203	8.918047766
204	8.904815851
205	8.878368279
206	8.870098296
207	8.855910603
208	8.842736099
209	8.820671095
210	8.802296592
211	8.789476496
212	8.759783941
213	8.736321419
214	8.724168047
215	8.703360391
216	8.688948977
217	8.676376747
218	8.664190359
219	8.641155688
220	8.622928158
221	8.587367501
222	8.57188817
223	8.552241666
224	8.53098874
225	8.515022277
226	8.493808834
227	8.479914446
228	8.436572981
229	8.427838758
230	8.413912125
231	8.402576086
232	8.382661404
233	8.371515946
234	8.329384845
235	8.313732031
236	8.295616869
237	8.28193886
238	8.273914081
239	8.253108138
240	8.240380004
241	8.228760866
242	8.205798546
243	8.187991906
244	8.167510376
245	8.151097416
246	8.120857139
247	8.105576168
248	8.085982525
249	8.068678919
250	8.053580083
251	8.046602755
252	8.039717804
253	8.028768202
254	8.018824994
255	8.001072093
256	7.987285704
257	7.973981993
258	7.963079277
259	7.947177008
260	7.932933422
261	7.920191313
262	7.910327783
263	7.892044281
264	7.87679724
265	7.866705748
266	7.860789847
267	7.845068493
268	7.830311336
269	7.817336216
270	7.809770626
271	7.792074739
272	7.775661122
273	7.766610104
274	7.744669135
275	7.710987119
276	7.698074024
277	7.689130775
278	7.672882925
279	7.662983289
280	7.649037696
281	7.636254047
282	7.624481666
283	7.607479908
284	7.593688284
285	7.585219385
286	7.557009254
287	7.550096899
288	7.536710787
289	7.529975372
290	7.510285382
291	7.495132189
292	7.484684353
